ravenswood,41.9683333,-87.6744444
rogers_park,42.0094444,-87.6755556
evanston_main_street,42.0333333,-87.68
evanston_davis_street,42.0480556,-87.6847222
evanston_central_street,42.0641667,-87.6980556
wilmette,42.0772222,-87.7091667
kenilworth,42.0863889,-87.7166667
indian_hill,42.0944444,-87.7238889
winnetka,42.1052778,-87.7327778
hubbard_woods,42.1180556,-87.7436111
glencoe,42.1355556,-87.7580556
braeside,42.1527778,-87.7725
ravinia,42.165,-87.7827778
highland_park,42.1833333,-87.7975
highwood,42.2033333,-87.8105556
fort_sheridan,42.2175,-87.8208333
lake_forest,42.2525,-87.8397222
lake_bluff,42.2797222,-87.8466667
greate_lakes,42.3069444,-87.8463889
north_chicago,42.3286111,-87.8369444
waukegan,42.3605556,-87.8283333
zion,42.4491667,-87.8180556
winthrop_harbor,42.4827778,-87.8161111
ravinia_park,42.1580556,-87.7769444
kenosha,42.5858333,-87.8258333
milennium_station,41.88594,-87.62345
tinley_park_80_avenue,41.5643,-87.8095
ogilve,41.88269,-87.64029
